Isolate name	Standardized name	Isolation	Ecological origins	wine_eco	Geographical origins	HO deletion	SSD1_allele	Ploidy	Aneuploidies	Aneuploidy_type	Zygosity	Mean coverage	Clades	Collection / Provider	Reference	heterozygosity	basename	ssd1geno	ssd1het	chr1only
2	CBL	Chalcidoidea	Insect	Insect	Schleswig-Holstein	no	B	2	euploid	Euploid	heterozygous	189	M. Mosaic	Max Planck Institute for Evolutionary Biology (Duncan Greig)	Peter	0.005064635	2	AB	het	FALSE
2.6_Windsor_British	CFI	Carlsberg Beer	Beer	Beer	UK	no	B	4	aneu;+1*9;	Gain	heterozygous	253	8. Mixed origin	Carlsberg	Peter	0.005959168	WLP013	AB	het	FALSE
21-4-101	ALM	River water (Danube)	Water	Water	"Bratislava, Slovakia"	no	A	2	aneu;+1*9;	Gain	heterozygous	203	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.000668944	21_4_101	AA	hom	FALSE
21-4-103	ALN	River water (Morava)	Water	Water	"Bratislava, Deninska Nova Ves, Slovakia"	no	B	2	euploid	Euploid	heterozygous	218	8. Mixed origin	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.003597048	21_4_103	AB	het	FALSE
21-4-105	ALP	River water Morava	Water	Water	"Bratislava, Deninska Nova Ves, Slovakia"	no	A	2	aneu;+1*9;	Gain	heterozygous	223	8. Mixed origin	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.003311302	21_4_105	AA	het	FALSE
21-4-111	ALQ	"Leaves of Prunus domestica L., 'Stanley'"	Tree	Tree	"Male Zaluzie, Slovakia"	no	A	2	euploid	Euploid	homozygous	251	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.000183514	21_4_111	AA	hom	FALSE
21-4-114	ALR	Leaves of peach tree (Prunus armeniaca)	Tree	Tree	"Male levare, Slovakia"	no	B	3	aneu;+1*9;+1*11;+1*12;	Gain	heterozygous	222	M. Mosaic	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.004705232	21_4_114	AB	het	FALSE
21-4-116	ALS	Blossom of apple tree (Malus domestica)	Flower	Flower	"Male levare, Slovakia"	no	A	2	euploid	Euploid	homozygous	228	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.000183611	21_4_116	AA	hom	FALSE
21-4-122	ALT	Blossoms of apricot tree (Prunus armeniaca)	Flower	Flower	"Male Zaluzie, Slovakia"	no	A	2	euploid	Euploid	homozygous	222	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.000187181	21_4_122	AA	hom	FALSE
21-4-124	ALV	"Fruit of plum tree (Prunus domestica L., 'Stanley')"	Fruit	Fruit	"Male Zaluzie, Slovakia"	no	B	3	aneu;+1*1;+1*7;+1*9;+1*11;	Gain	heterozygous	195	8. Mixed origin	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.005494839	21_4_124	AB	het	FALSE
21-4-125	AMA	"Fruit of plum tree (Prunus domestica L., 'Stanley')"	Fruit	Fruit	"Male Zaluzie, Slovakia"	no	A	3	euploid	Euploid	heterozygous	232	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.000897541	21_4_125	AA	het	FALSE
21-4-99	ALL	River water (Danube)	Water	Water	"Bratislava, Slovakia"	no	A	2	euploid	Euploid	heterozygous	263	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.000712021	21_4_99	AA	hom	FALSE
2162	BBQ	"Forest soil, 30C"	Soil	Soil	Hungary	no	A	2	euploid	Euploid	homozygous	238	4. Mediterranean oak	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000284178	2162	AA	hom	FALSE
2163	BBR	"Quercus faginea, 30C"	Tree	Tree	"Castellon, Spain"	no	B	2	euploid	Euploid	homozygous	236	NA	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000382487	2163	BB	hom	FALSE
2187	BBS	"Forest soil, 30C"	Soil	Soil	Hungary	no	A	2	euploid	Euploid	homozygous	327	4. Mediterranean oak	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000279932	2187	AA	hom	FALSE
2281	BBT	"Grapes, Picudo variety"	Wine	Fruit	"Valdevimbre, Spain"	no	A	3	euploid	Euploid	heterozygous	239	M. Mosaic	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.004833878	2281	AA	het	FALSE
2282	BBV	"Grapes, Verdosilla variety"	Wine	Fruit	"Tuejar, Spain"	no	A	2	aneu;+1*3;	Gain	heterozygous	295	1. Wine/European	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000575937	2282	AA	het	FALSE
2644	BCA	Human feces	"Human, clinical"	"Human, clinical"	"Hospital Vall d'Hebron, Barcelona, Spain"	no	A	2	euploid	Euploid	heterozygous	183	1. Wine/European	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000341699	2644	AA	hom	FALSE
2680	BMM	Vagina	"Human, clinical"	"Human, clinical"	"Vall d'Hebron hospital, Barcelona, Spain"	no	B	4	aneu;-1*1;-1*6;+1*7;-1*9;+1*13;+1*15;	Both	heterozygous	220	8. Mixed origin	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.005915863	2680	AB	het	FALSE
269521J	BMF	Human	Human	Human	"RVI Newcastle, UK"	no	A	2	aneu;+1*1;	1only	heterozygous	308	M. Mosaic	"National Collection of Yeast Cultures (NCYC)(Stephen A James, Donald Mackenzie and Ian Roberts)"	Peter	0.004063404	269521J	AA	hom	TRUE
2698	BMN	Faringe	"Human, clinical"	"Human, clinical"	"Vall d'Hebron hospital, Barcelona, Spain"	no	A	2	euploid	Euploid	heterozygous	256	1. Wine/European	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000345956	2698	AA	hom	FALSE
2720	BMQ	Blood	"Human, clinical"	"Human, clinical"	"La Fe Hospital,Valencia, Spain"	no	A	2	aneu;+1*1;+1*6;+1*7;+1*9;+1*11;+1*12;+1*13;	Gain	heterozygous	58	M. Mosaic	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.004738284	2720	AA	het	FALSE
273614N	SACE_MAA	"Royal Victoria Infirmary, Newcastle UK, Galloway A Clinical isolate (Fecal) Mackenzie D"	"Human, clinical"	"Human, clinical"	"Newcastle, UK"	no	A	2	euploid	Euploid	homozygous	49	M. Mosaic	NA	17	0.000163988	273614N	AA	hom	FALSE
3	CBM	Chalcidoidea	Insect	Insect	Forest of Nehmten in Schleswig-Holstein	no	B	2	euploid	Euploid	heterozygous	250	M. Mosaic	Max Planck Institute for Evolutionary Biology (Duncan Greig)	Peter	0.004943362	3	AB	het	FALSE
3.3_Safale_S-33	CFN	Carlsberg Beer	Beer	Beer	NA	no	B	4	aneu;+1*2;+1*9;	Gain	heterozygous	277	8. Mixed origin	Carlsberg	Peter	0.005880847	WLP006	AB	het	FALSE
3.4_Safbrew_T-58	CFP	Carlsberg Beer	Beer	Beer	NA	no	B	4	euploid	Euploid	heterozygous	225	8. Mixed origin	Carlsberg	Peter	0.006004488	WLP565	AB	het	FALSE
319-5C	CHH	Bakery	Bakery	Bakery	France	no	B	2	aneu;+1*7;	Gain	heterozygous	150	8. Mixed origin	"INRA Moulon, France (Sicard D.)"	Peter	0.003411461	319_5C	AB	het	FALSE
324-6C	CHG	Bakery	Bakery	Bakery	Vietnam	no	B	2	euploid	Euploid	heterozygous	225	8. Mixed origin	"INRA Moulon, France (Sicard D.)"	Peter	0.003539499	324_6C	AB	het	FALSE
368428S	BME	Human	Human	Human	"RVI Newcastle, UK"	no	A	3	aneu;+1*9;	Gain	heterozygous	325	5. French dairy	"National Collection of Yeast Cultures (NCYC)(Stephen A James, Donald Mackenzie and Ian Roberts)"	Peter	0.005643914	368428S	AA	het	FALSE
378604X	SACE_MAB	Clinical sputum	"Human, clinical"	"Human, clinical"	"Newcastle, UK"	no	A	2	euploid	Euploid	homozygous	46	M. Mosaic	NA	17	0.00019256	378604X	AA	hom	FALSE
384103A	BMD	Human	Human	Human	"RVI Newcastle, UK"	no	B	2	euploid	Euploid	heterozygous	285	M. Mosaic	"National Collection of Yeast Cultures (NCYC)(Stephen A James, Donald Mackenzie and Ian Roberts)"	Peter	0.004096191	384103A	AB	het	FALSE
4.5_WLP530	CFC	"Carlsberg Beer, Abbey ale yeast (Westmalle brewery)"	Beer	Beer	"Westmalle, Belgium"	no	B	4	aneu;-1*12;	Loss	heterozygous	216	11. Ale beer	Carlsberg	Peter	0.004820999	WLP530	AB	het	FALSE
4.9_WLP099	CFE	"Carlsberg Beer, super high gravity"	Beer	Beer	United Kingdom	no	A	2	euploid	Euploid	heterozygous	272	1. Wine/European	Carlsberg	Peter	0.000688379	WLP099	AA	het	FALSE
4LBI-3	BVK	Spontaneous grape fermentation	Wine	Must	"Basilicata, Italy"	no	A	2	euploid	Euploid	homozygous	230	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	Peter	0.000153312	4LBI_3	AA	hom	FALSE
5-18	CAA	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	260	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000436142	5_18	AA	hom	FALSE
5-2	CAQ	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	228	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000513323	5_2	AA	hom	FALSE
5.5_WLP090	CFM	"Carlsberg Beer, \\\\\\\\""San Diego Super Yeast\\\\""\\\\"""""	Beer	Beer	"San Diego, USA"	no	B	4	aneu;-1*1;-1*5;-1*9;	Loss	heterozygous	258	11. Ale beer	Carlsberg	Peter	0.003305648	WLP090	AB	het	FALSE
6.2_WLP570	CFF	Carlsberg Beer	Beer	Beer	Belgium	no	A	2	euploid	Euploid	heterozygous	254	7. Mosaic beer	Carlsberg	Peter	0.002427775	WLP570	AA	hom	FALSE
646-3B	CHI	Bakery	Bakery	Bakery	USA	no	B	2	euploid	Euploid	heterozygous	177	8. Mixed origin	"INRA Moulon, France (Sicard D.)"	Peter	0.00370093	646_3B	AB	het	FALSE
77	BTB	Baker's yeast	Bakery	Bakery	NA	no	B	3	aneu;+1*1;	1only	heterozygous	211	M. Mosaic	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	Peter	0.003172868	77	BB	het	TRUE
79	BTC	Fleischmann baker's yeast.	Bakery	Bakery	NA	no	A	2	euploid	Euploid	heterozygous	235	8. Mixed origin	National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts)	Peter	0.002739678	79	AA	hom	FALSE
8-15	BVV	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	226	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000502894	8_15	AA	hom	FALSE
8-3	CAN	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	aneu;+1*9;	Gain	heterozygous	188	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000573733	8_3	AA	hom	FALSE
9-7	CAM	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	179	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000503472	9_7	AA	hom	FALSE
906	CPA	Must from various Agave sp.	Nature	Nature	Mexico	no	A	2	euploid	Euploid	heterozygous	299	NA	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.002185882	906	AA	hom	FALSE
908	BBM	Raicilla (Mexican distilled spirit)	Distillery	Distillery	"Jalisco, Mexico"	no	A	2	euploid	Euploid	homozygous	279	NA	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.000306449	908	AA	hom	FALSE
995	CPB	Fermented beverage from raisins and sugar	Beer	Beer	Hungary	no	A	2	aneu;+1*3;	Gain	heterozygous	159	M. Mosaic	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.00158561	995	AA	het	FALSE
997	CPC	Apricot pulp	Fruit	Fruit	Hungary	no	B	2	euploid	Euploid	heterozygous	203	M. Mosaic	Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol)	Peter	0.00393037	997	AB	het	FALSE
A-12	CAC	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	236	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000504619	A_12	AA	hom	FALSE
A-14	CBA	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	229	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000858201	A_14	AA	hom	FALSE
A-16	CAK	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	337	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.001241889	A_16	AA	hom	FALSE
A-18	ANM	Sorghum beer	Beer	Beer	Ghana	no	A	4	euploid	Euploid	heterozygous	211	6. African beer	The Royal Veterinary and Agricultural University (Lene Jespersen)	14	0.003479322	A_18	AA	het	FALSE
A-19	CAL	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	232	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.001279788	A_19	AA	hom	FALSE
A-6	ANL	Sorghum beer	Beer	Beer	Ghana	no	A	4	euploid	Euploid	heterozygous	207	6. African beer	The Royal Veterinary and Agricultural University (Lene Jespersen)	14	0.003596331	A_6	AA	het	FALSE
A-9	CAR	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	homozygous	195	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000145108	A_9	AA	hom	FALSE
AGME_5I	CRI	Wine	Wine	Wine	Italy	no	A	2	aneu;+1*4;+1*8;+1*15;	Gain	homozygous	293	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	Peter	0.000161615	AGME_5I	AA	hom	FALSE
ATCC_38618:2-2	CEN	Concentrated orange juice	Fruit	Fruit	NA	no	B	2	aneu;+1*11;+1*13;	Gain	heterozygous	199	M. Mosaic	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	Peter	0.000431494	ATCC_38618:2-2	BB	hom	FALSE
ATCC_52922-1C	CEP	Tapuy (rice wine)	Fermentation	Fermentation	Philippines	no	B	2	aneu;+1*8;	Gain	homozygous	295	NA	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	Peter	0.00024403	ATCC_52922_1C	BB	hom	FALSE
ATCC_66348-1D	CDB	Soil	Soil	Soil	Japan	no	B	2	euploid	Euploid	homozygous	192	NA	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	Peter	0.000361264	ATCC_66348_1D	BB	hom	FALSE
AY529516	ANN	Cocoa bean fermentation	Fermentation	Fermentation	Ghana	no	A	2	euploid	Euploid	heterozygous	207	12. West African cocoa	The Royal Veterinary and Agricultural University (Lene Jespersen)	21	0.002275701	AY529516	AA	hom	FALSE
B-11	CBD	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	homozygous	179	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000149902	B_11	AA	hom	FALSE
B-13	CAV	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	aneu;+1*3;	Gain	homozygous	206	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000151336	B_13	AA	hom	FALSE
B-17	CAS	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	homozygous	70	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000145175	B_17	AA	hom	FALSE
B-24	BVT	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	heterozygous	203	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000470707	B_24	AA	hom	FALSE
B-4	CAE	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	homozygous	352	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000178588	B_4	AA	hom	FALSE
B1	ASP	Unknown	Unknown	Unknown	France	no	B	2	euploid	Euploid	heterozygous	205	8. Mixed origin	Washington University School of Medicine (Justin C Fay)	5	0.004042391	B1	AB	het	FALSE
B10-1	CHQ	Levain from organic flour	Bakery	Bakery	Forcalquier	no	B	2	euploid	Euploid	heterozygous	277	M. Mosaic	"INRA Moulon, France (Sicard D.)"	Peter	0.003684962	B10_1	AB	het	FALSE
B9b-1	CHN	Levain from organic flour (Renan)	Bakery	Bakery	Gif-sur-Yvette	no	B	2	euploid	Euploid	heterozygous	218	M. Mosaic	"INRA Moulon, France (Sicard D.)"	Peter	0.003459033	B9b_1	AB	het	FALSE
B9c-1	CHP	Levain from organic flour (Renan)	Bakery	Bakery	Gif-sur-Yvette	no	B	2	euploid	Euploid	heterozygous	224	M. Mosaic	"INRA Moulon, France (Sicard D.)"	Peter	0.003409809	B9c_1	AB	het	FALSE
Ba-215	CRC	Wine	Wine	Wine	Italy	no	A	2	euploid	Euploid	homozygous	218	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	Peter	0.00018325	Ba_215	AA	hom	FALSE
BJ20	BAK	Bark from Quercus wutaishanica	Tree	Tree	"Dongling Mountain, Beijing, China"	no	B	2	euploid	Euploid	homozygous	266	18. Far East Asia	Chinese Academy of Sciences (Feng-Yan Bai)	24	0.000363605	BJ20	BB	hom	FALSE
BJ6	BAI	Persimmon	Fruit	Fruit	"Changping, Beijing, China"	no	B	2	euploid	Euploid	homozygous	265	18. Far East Asia	Chinese Academy of Sciences (Feng-Yan Bai)	24	0.000384737	BJ6	BB	hom	FALSE
BMQ557	CGL	Unknown	Unknown	Unknown	"Hai Phong, North Vietnam"	no	B	2	euploid	Euploid	heterozygous	316	26. Asian fermentation	"INRA Gringnon, France (Nguyen H.V.)"	Peter	0.001116878	BMQ557	BB	hom	FALSE
C-12	CAT	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	homozygous	197	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000151129	C_12	AA	hom	FALSE
C-3	CAF	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	homozygous	205	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000168676	C_3	AA	hom	FALSE
C-6	CRL	Wine conserved in amphora	Wine	Wine	Georgia	no	A	2	euploid	Euploid	homozygous	64	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	7	0.000165607	C_6	AA	hom	FALSE
C10.4	AIL	Clay	Nature	Nature	Cameroon	no	A	2	euploid	Euploid	heterozygous	212	1. Wine/European	NA	3	0.000554122	C10_4	AA	hom	FALSE
C15.1	AIK	Palm nuts	Nature	Nature	Cameroon	no	A	2	euploid	Euploid	heterozygous	278	1. Wine/European	NA	3	0.000270822	C15_1	AA	hom	FALSE
C6.1	AII	Palm wine	Palm wine	Palm wine	Cameroon	no	A	2	aneu;+1*1;	1only	heterozygous	326	1. Wine/European	NA	3	0.000320982	C6_1	AA	hom	TRUE
Ca6	CGS	Fermenting grape must (sweet wine)	Wine	Must	Lebanon	no	A	2	euploid	Euploid	homozygous	235	1. Wine/European	"INRA Gringnon, France (Nguyen H.V.)"	Peter	0.000206346	Ca6	AA	hom	FALSE
CBS1171	AEB	Brewers top yeast	Beer	Beer	"Oranjeboom brewery, Rotterdam, Netherlands"	no	A	4	aneu;+1*1;+1*2;+1*15;	Gain	heterozygous	212	11. Ale beer	CBS collection (Nguyen H.V.)	Peter	0.003024299	CBS1171	AA	het	FALSE
CBS1173	AFS	Fruit ilex	Fruit	Fruit	NA	no	A	2	aneu;-1*2;-1*3;-1*4;-1*6;-1*9;-1*10;-1*11;-1*15;-1*16;	Loss	heterozygous	237	NA	CBS collection (Nguyen H.V.)	Peter	0.001254295	CBS1173	AA	hom	FALSE
CBS1175	AQQ	Wine	Wine	Wine	Switzerland	no	A	2	aneu;+1*9;+1*14;	Gain	heterozygous	175	1. Wine/European	CBS collection (Nguyen H.V.)	Peter	0.000346702	CBS1175	AA	hom	FALSE
CBS1190	AQR	Wine	Wine	Wine	Germany	no	A	2	aneu;+1*11;+1*14;	Gain	heterozygous	216	1. Wine/European	CBS collection (Nguyen H.V.)	Peter	0.000533233	CBS1190	AA	hom	FALSE
CBS1192	AHD	Wine	Wine	Wine	NA	yes	A	1	aneu;+1*1;	1only	homozygous	308	1. Wine/European	CBS collection (Nguyen H.V.)	Peter	0.000190847	CBS1192	AA	hom	TRUE
